,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/cif10_rb/wrn_28_10_10/fgsm/InputMFS/LR/log.txt,92.49,87.33,87.6,87.0,87.29,13.0,66.73,8.67
./data/detection/run_1/cif10_rb/wrn_28_10_10/bim/InputMFS/LR/log.txt,89.54,83.83,82.2,86.33,84.23,13.67,79.92,10.93
./data/detection/run_1/cif10_rb/wrn_28_10_10/pgd/InputMFS/LR/log.txt,89.52,82.33,82.6,82.0,82.27,18.0,74.22,13.36
./data/detection/run_1/cif10_rb/wrn_28_10_10/std/8_255/InputMFS/LR/log.txt,90.03,83.17,83.1,83.33,83.19,16.67,27.42,4.57
./data/detection/run_1/cif10_rb/wrn_28_10_10/df/InputMFS/LR/log.txt,62.86,58.17,59.3,52.0,55.42,48.0,100.0,48.0
./data/detection/run_1/cif10_rb/wrn_28_10_10/cw/InputMFS/LR/log.txt,58.8,55.5,55.6,54.67,55.13,45.33,100.0,45.33
./data/detection/run_1/cif10_rb/wrn_28_10_10/fgsm/InputMFS/RF/log.txt,98.67,94.0,89.3,100.0,94.34,0.0,66.73,0.0
./data/detection/run_1/cif10_rb/wrn_28_10_10/bim/InputMFS/RF/log.txt,97.8,92.17,86.7,99.67,92.71,0.33,79.92,0.26
./data/detection/run_1/cif10_rb/wrn_28_10_10/pgd/InputMFS/RF/log.txt,97.18,92.67,87.4,99.67,93.15,0.33,74.22,0.24
./data/detection/run_1/cif10_rb/wrn_28_10_10/std/8_255/InputMFS/RF/log.txt,97.99,91.33,85.8,99.0,91.95,1.0,27.42,0.27
./data/detection/run_1/cif10_rb/wrn_28_10_10/df/InputMFS/RF/log.txt,68.44,62.83,65.7,53.67,59.08,46.33,100.0,46.33
./data/detection/run_1/cif10_rb/wrn_28_10_10/cw/InputMFS/RF/log.txt,64.07,59.5,61.3,51.67,56.06,48.33,100.0,48.33
./data/detection/run_1/cif10_rb/wrn_28_10_10/fgsm/LayerMFS/LR/log.txt,93.81,86.67,86.7,86.67,86.67,13.33,66.73,8.9
./data/detection/run_1/cif10_rb/wrn_28_10_10/bim/LayerMFS/LR/log.txt,90.31,81.33,83.8,77.67,80.62,22.33,79.92,17.85
./data/detection/run_1/cif10_rb/wrn_28_10_10/pgd/LayerMFS/LR/log.txt,91.51,85.17,85.3,85.0,85.14,15.0,74.22,11.13
./data/detection/run_1/cif10_rb/wrn_28_10_10/std/8_255/LayerMFS/LR/log.txt,86.11,79.83,82.8,75.33,78.88,24.67,27.42,6.76
./data/detection/run_1/cif10_rb/wrn_28_10_10/df/LayerMFS/LR/log.txt,69.26,63.17,64.9,57.33,60.88,42.67,100.0,42.67
./data/detection/run_1/cif10_rb/wrn_28_10_10/cw/LayerMFS/LR/log.txt,66.67,61.0,61.5,58.67,60.07,41.33,100.0,41.33
./data/detection/run_1/cif10_rb/wrn_28_10_10/fgsm/LayerMFS/RF/log.txt,91.0,81.83,78.2,88.33,82.94,11.67,66.73,7.79
./data/detection/run_1/cif10_rb/wrn_28_10_10/bim/LayerMFS/RF/log.txt,83.15,75.33,75.3,75.33,75.33,24.67,79.92,19.72
./data/detection/run_1/cif10_rb/wrn_28_10_10/pgd/LayerMFS/RF/log.txt,86.66,78.5,76.6,82.0,79.23,18.0,74.22,13.36
./data/detection/run_1/cif10_rb/wrn_28_10_10/std/8_255/LayerMFS/RF/log.txt,83.03,74.17,73.8,75.0,74.38,25.0,27.42,6.86
./data/detection/run_1/cif10_rb/wrn_28_10_10/df/LayerMFS/RF/log.txt,66.19,61.33,62.9,55.33,58.87,44.67,100.0,44.67
./data/detection/run_1/cif10_rb/wrn_28_10_10/cw/LayerMFS/RF/log.txt,62.61,59.17,59.8,56.0,57.83,44.0,100.0,44.0
