,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/cif100rn34/rn_34_0_100/fgsm/InputMFS/LR/log.txt,98.74,93.5,94.2,92.67,93.45,7.33,96.97,7.11
./data/detection/run_2/cif100rn34/rn_34_0_100/bim/InputMFS/LR/log.txt,95.52,89.17,89.8,88.33,89.08,11.67,100.0,11.67
./data/detection/run_2/cif100rn34/rn_34_0_100/pgd/InputMFS/LR/log.txt,95.97,89.17,90.9,87.0,88.93,13.0,100.0,13.0
./data/detection/run_2/cif100rn34/rn_34_0_100/std/8_255/InputMFS/LR/log.txt,96.77,92.17,91.7,92.67,92.21,7.33,100.0,7.33
./data/detection/run_2/cif100rn34/rn_34_0_100/df/InputMFS/LR/log.txt,55.11,53.67,53.7,53.0,53.36,47.0,100.0,47.0
./data/detection/run_2/cif100rn34/rn_34_0_100/cw/InputMFS/LR/log.txt,53.99,52.67,52.9,49.0,50.87,51.0,100.0,51.0
./data/detection/run_2/cif100rn34/rn_34_0_100/fgsm/InputMFS/RF/log.txt,99.68,97.67,95.5,100.0,97.72,0.0,96.97,0.0
./data/detection/run_2/cif100rn34/rn_34_0_100/bim/InputMFS/RF/log.txt,99.12,94.5,90.1,100.0,94.79,0.0,100.0,0.0
./data/detection/run_2/cif100rn34/rn_34_0_100/pgd/InputMFS/RF/log.txt,99.1,95.33,91.5,100.0,95.54,0.0,100.0,0.0
./data/detection/run_2/cif100rn34/rn_34_0_100/std/8_255/InputMFS/RF/log.txt,99.46,96.33,93.2,100.0,96.46,0.0,100.0,0.0
./data/detection/run_2/cif100rn34/rn_34_0_100/df/InputMFS/RF/log.txt,58.36,55.17,55.1,56.0,55.54,44.0,100.0,44.0
./data/detection/run_2/cif100rn34/rn_34_0_100/cw/InputMFS/RF/log.txt,58.69,55.67,55.0,62.33,58.44,37.67,100.0,37.67
./data/detection/run_2/cif100rn34/rn_34_0_100/fgsm/LayerMFS/LR/log.txt,99.51,97.17,97.3,97.0,97.16,3.0,96.97,2.91
./data/detection/run_2/cif100rn34/rn_34_0_100/bim/LayerMFS/LR/log.txt,98.01,93.83,93.7,94.0,93.84,6.0,100.0,6.0
./data/detection/run_2/cif100rn34/rn_34_0_100/pgd/LayerMFS/LR/log.txt,98.02,93.0,95.1,90.67,92.83,9.33,100.0,9.33
./data/detection/run_2/cif100rn34/rn_34_0_100/std/8_255/LayerMFS/LR/log.txt,98.13,95.0,97.2,92.67,94.88,7.33,100.0,7.33
./data/detection/run_2/cif100rn34/rn_34_0_100/df/LayerMFS/LR/log.txt,59.87,57.83,58.2,55.67,56.9,44.33,100.0,44.33
./data/detection/run_2/cif100rn34/rn_34_0_100/cw/LayerMFS/LR/log.txt,58.76,55.33,55.5,54.0,54.73,46.0,100.0,46.0
./data/detection/run_2/cif100rn34/rn_34_0_100/fgsm/LayerMFS/RF/log.txt,99.93,97.67,95.5,100.0,97.72,0.0,96.97,0.0
./data/detection/run_2/cif100rn34/rn_34_0_100/bim/LayerMFS/RF/log.txt,99.38,94.83,90.6,100.0,95.09,0.0,100.0,0.0
./data/detection/run_2/cif100rn34/rn_34_0_100/pgd/LayerMFS/RF/log.txt,99.46,94.83,90.6,100.0,95.09,0.0,100.0,0.0
./data/detection/run_2/cif100rn34/rn_34_0_100/std/8_255/LayerMFS/RF/log.txt,99.67,96.33,93.2,100.0,96.46,0.0,100.0,0.0
./data/detection/run_2/cif100rn34/rn_34_0_100/df/LayerMFS/RF/log.txt,58.16,56.33,56.0,59.0,57.47,41.0,100.0,41.0
./data/detection/run_2/cif100rn34/rn_34_0_100/cw/LayerMFS/RF/log.txt,58.46,57.5,57.3,59.0,58.13,41.0,100.0,41.0
