,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/cif10vgg/vgg_16_0_10/fgsm/InputMFS/LR/log.txt,99.61,96.75,97.0,96.5,96.74,3.5,95.91,3.36
./data/detection/run_2/cif10vgg/vgg_16_0_10/bim/InputMFS/LR/log.txt,96.15,91.5,91.3,91.75,91.52,8.25,100.0,8.25
./data/detection/run_2/cif10vgg/vgg_16_0_10/pgd/InputMFS/LR/log.txt,96.2,91.12,91.2,91.0,91.11,9.0,100.0,9.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/std/8_255/InputMFS/LR/log.txt,98.47,95.0,93.7,96.5,95.07,3.5,100.0,3.5
./data/detection/run_2/cif10vgg/vgg_16_0_10/df/InputMFS/LR/log.txt,60.27,57.88,58.2,56.0,57.07,44.0,100.0,44.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/cw/InputMFS/LR/log.txt,55.87,54.0,54.4,49.75,51.96,50.25,100.0,50.25
./data/detection/run_2/cif10vgg/vgg_16_0_10/fgsm/InputMFS/RF/log.txt,99.88,97.5,95.2,100.0,97.56,0.0,95.91,0.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/bim/InputMFS/RF/log.txt,99.07,93.62,88.7,100.0,94.01,0.0,100.0,0.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/pgd/InputMFS/RF/log.txt,99.38,94.25,89.7,100.0,94.56,0.0,100.0,0.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/std/8_255/InputMFS/RF/log.txt,99.44,94.75,90.5,100.0,95.01,0.0,100.0,0.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/df/InputMFS/RF/log.txt,63.58,59.25,58.0,66.75,62.09,33.25,100.0,33.25
./data/detection/run_2/cif10vgg/vgg_16_0_10/cw/InputMFS/RF/log.txt,59.86,56.75,56.6,58.25,57.39,41.75,100.0,41.75
./data/detection/run_2/cif10vgg/vgg_16_0_10/fgsm/LayerMFS/LR/log.txt,99.96,99.38,98.8,100.0,99.38,0.0,95.91,0.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/bim/LayerMFS/LR/log.txt,99.95,99.25,99.0,99.5,99.25,0.5,100.0,0.5
./data/detection/run_2/cif10vgg/vgg_16_0_10/pgd/LayerMFS/LR/log.txt,99.86,98.38,98.0,98.75,98.38,1.25,100.0,1.25
./data/detection/run_2/cif10vgg/vgg_16_0_10/std/8_255/LayerMFS/LR/log.txt,100.0,99.88,99.8,100.0,99.88,0.0,100.0,0.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/df/LayerMFS/LR/log.txt,79.47,71.12,70.0,74.0,71.93,26.0,100.0,26.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/cw/LayerMFS/LR/log.txt,75.64,68.62,67.1,73.0,69.94,27.0,100.0,27.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/fgsm/LayerMFS/RF/log.txt,98.97,95.75,94.9,96.75,95.79,3.25,95.91,3.12
./data/detection/run_2/cif10vgg/vgg_16_0_10/bim/LayerMFS/RF/log.txt,99.02,95.5,96.0,95.0,95.48,5.0,100.0,5.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/pgd/LayerMFS/RF/log.txt,98.53,92.88,93.9,91.75,92.79,8.25,100.0,8.25
./data/detection/run_2/cif10vgg/vgg_16_0_10/std/8_255/LayerMFS/RF/log.txt,99.98,98.88,98.8,99.0,98.88,1.0,100.0,1.0
./data/detection/run_2/cif10vgg/vgg_16_0_10/df/LayerMFS/RF/log.txt,91.48,85.75,80.3,94.75,86.93,5.25,100.0,5.25
./data/detection/run_2/cif10vgg/vgg_16_0_10/cw/LayerMFS/RF/log.txt,93.49,87.5,82.2,95.75,88.45,4.25,100.0,4.25
