,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/celebaHQ32/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,77.51,71.67,73.9,67.0,70.28,33.0,97.92,32.31
./data/detection/run_3/celebaHQ32/wrn_28_10_4/bim/InputMFS/LR/log.txt,72.35,65.83,66.6,63.67,65.08,36.33,100.0,36.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/pgd/InputMFS/LR/log.txt,65.65,61.17,61.5,59.67,60.58,40.33,100.0,40.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,75.5,70.83,71.3,69.67,70.49,30.33,100.0,30.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/df/InputMFS/LR/log.txt,56.28,55.0,55.4,51.67,53.45,48.33,100.0,48.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/cw/InputMFS/LR/log.txt,51.1,51.0,51.1,44.67,47.69,55.33,100.0,55.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,76.08,69.33,68.8,70.67,69.74,29.33,97.92,28.72
./data/detection/run_3/celebaHQ32/wrn_28_10_4/bim/InputMFS/RF/log.txt,70.32,64.83,63.0,71.67,67.08,28.33,100.0,28.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/pgd/InputMFS/RF/log.txt,70.67,65.0,64.0,68.67,66.24,31.33,100.0,31.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,81.44,72.33,68.4,83.0,75.0,17.0,100.0,17.0
./data/detection/run_3/celebaHQ32/wrn_28_10_4/df/InputMFS/RF/log.txt,51.91,51.17,51.3,46.0,48.51,54.0,100.0,54.0
./data/detection/run_3/celebaHQ32/wrn_28_10_4/cw/InputMFS/RF/log.txt,50.88,51.83,52.0,48.0,49.91,52.0,100.0,52.0
./data/detection/run_3/celebaHQ32/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,96.18,90.33,91.7,88.67,90.17,11.33,97.92,11.09
./data/detection/run_3/celebaHQ32/wrn_28_10_4/bim/LayerMFS/LR/log.txt,93.01,84.83,84.3,85.67,84.96,14.33,100.0,14.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,90.09,80.67,79.7,82.33,80.98,17.67,100.0,17.67
./data/detection/run_3/celebaHQ32/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,95.5,89.5,89.4,89.67,89.52,10.33,100.0,10.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/df/LayerMFS/LR/log.txt,66.83,61.67,61.7,61.33,61.54,38.67,100.0,38.67
./data/detection/run_3/celebaHQ32/wrn_28_10_4/cw/LayerMFS/LR/log.txt,57.94,55.83,56.0,54.67,55.31,45.33,100.0,45.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,94.78,88.67,87.2,90.67,88.89,9.33,97.92,9.14
./data/detection/run_3/celebaHQ32/wrn_28_10_4/bim/LayerMFS/RF/log.txt,94.02,85.83,84.1,88.33,86.18,11.67,100.0,11.67
./data/detection/run_3/celebaHQ32/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,90.53,83.5,81.3,87.0,84.06,13.0,100.0,13.0
./data/detection/run_3/celebaHQ32/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,97.41,91.33,90.3,92.67,91.45,7.33,100.0,7.33
./data/detection/run_3/celebaHQ32/wrn_28_10_4/df/LayerMFS/RF/log.txt,65.84,63.83,64.3,62.33,63.28,37.67,100.0,37.67
./data/detection/run_3/celebaHQ32/wrn_28_10_4/cw/LayerMFS/RF/log.txt,52.54,52.83,53.0,50.33,51.62,49.67,100.0,49.67
