,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/imagenet64/wrn_28_10/fgsm/InputMFS/LR/log.txt,93.5,87.17,87.3,87.0,87.15,13.0,89.37,11.62
./data/detection/run_3/imagenet64/wrn_28_10/bim/InputMFS/LR/log.txt,81.9,75.0,74.8,75.33,75.08,24.67,100.0,24.67
./data/detection/run_3/imagenet64/wrn_28_10/pgd/InputMFS/LR/log.txt,80.99,75.33,73.2,80.0,76.43,20.0,100.0,20.0
./data/detection/run_3/imagenet64/wrn_28_10/std/8_255/InputMFS/LR/log.txt,83.48,76.33,75.6,77.67,76.64,22.33,100.0,22.33
./data/detection/run_3/imagenet64/wrn_28_10/df/InputMFS/LR/log.txt,50.0,50.0,50.0,54.67,52.23,45.33,100.0,45.33
./data/detection/run_3/imagenet64/wrn_28_10/cw/InputMFS/LR/log.txt,50.21,50.17,50.2,48.0,49.06,52.0,100.0,52.0
./data/detection/run_3/imagenet64/wrn_28_10/fgsm/InputMFS/RF/log.txt,97.52,90.83,84.9,99.33,91.55,0.67,89.37,0.6
./data/detection/run_3/imagenet64/wrn_28_10/bim/InputMFS/RF/log.txt,88.19,80.33,74.2,93.0,82.54,7.0,100.0,7.0
./data/detection/run_3/imagenet64/wrn_28_10/pgd/InputMFS/RF/log.txt,88.2,81.0,74.3,94.67,83.28,5.33,100.0,5.33
./data/detection/run_3/imagenet64/wrn_28_10/std/8_255/InputMFS/RF/log.txt,90.69,82.5,75.6,96.0,84.58,4.0,100.0,4.0
./data/detection/run_3/imagenet64/wrn_28_10/df/InputMFS/RF/log.txt,50.0,50.0,50.0,52.0,50.98,48.0,100.0,48.0
./data/detection/run_3/imagenet64/wrn_28_10/cw/InputMFS/RF/log.txt,51.15,50.83,50.9,46.67,48.7,53.33,100.0,53.33
./data/detection/run_3/imagenet64/wrn_28_10/fgsm/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,89.37,0.0
./data/detection/run_3/imagenet64/wrn_28_10/bim/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_3/imagenet64/wrn_28_10/pgd/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_3/imagenet64/wrn_28_10/std/8_255/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_3/imagenet64/wrn_28_10/df/LayerMFS/LR/log.txt,50.01,50.0,50.0,53.67,51.77,46.33,100.0,46.33
./data/detection/run_3/imagenet64/wrn_28_10/cw/LayerMFS/LR/log.txt,56.67,55.17,55.4,52.67,54.02,47.33,100.0,47.33
./data/detection/run_3/imagenet64/wrn_28_10/fgsm/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,89.37,0.0
./data/detection/run_3/imagenet64/wrn_28_10/bim/LayerMFS/RF/log.txt,100.0,99.5,99.0,100.0,99.5,0.0,100.0,0.0
./data/detection/run_3/imagenet64/wrn_28_10/pgd/LayerMFS/RF/log.txt,100.0,99.5,99.0,100.0,99.5,0.0,100.0,0.0
./data/detection/run_3/imagenet64/wrn_28_10/std/8_255/LayerMFS/RF/log.txt,99.98,99.17,98.7,99.67,99.17,0.33,100.0,0.33
./data/detection/run_3/imagenet64/wrn_28_10/df/LayerMFS/RF/log.txt,49.99,50.0,50.0,49.0,49.49,51.0,100.0,51.0
./data/detection/run_3/imagenet64/wrn_28_10/cw/LayerMFS/RF/log.txt,49.51,51.67,52.0,43.0,47.08,57.0,100.0,57.0
