,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/cif10/wrn_28_10_10/fgsm/InputMFS/LR/log.txt,99.38,97.83,98.3,97.33,97.82,2.67,92.6,2.47
./data/detection/run_1/cif10/wrn_28_10_10/bim/InputMFS/LR/log.txt,94.98,89.33,90.4,88.0,89.19,12.0,100.0,12.0
./data/detection/run_1/cif10/wrn_28_10_10/pgd/InputMFS/LR/log.txt,95.46,89.67,88.6,91.0,89.8,9.0,100.0,9.0
./data/detection/run_1/cif10/wrn_28_10_10/std/8_255/InputMFS/LR/log.txt,96.58,91.67,90.6,93.0,91.78,7.0,100.0,7.0
./data/detection/run_1/cif10/wrn_28_10_10/df/InputMFS/LR/log.txt,59.0,56.83,57.5,52.67,54.96,47.33,100.0,47.33
./data/detection/run_1/cif10/wrn_28_10_10/cw/InputMFS/LR/log.txt,57.18,55.5,56.0,51.33,53.57,48.67,100.0,48.67
./data/detection/run_1/cif10/wrn_28_10_10/fgsm/InputMFS/RF/log.txt,99.87,97.83,95.8,100.0,97.88,0.0,92.6,0.0
./data/detection/run_1/cif10/wrn_28_10_10/bim/InputMFS/RF/log.txt,98.4,94.83,90.6,100.0,95.09,0.0,100.0,0.0
./data/detection/run_1/cif10/wrn_28_10_10/pgd/InputMFS/RF/log.txt,98.64,95.0,90.9,100.0,95.24,0.0,100.0,0.0
./data/detection/run_1/cif10/wrn_28_10_10/std/8_255/InputMFS/RF/log.txt,99.38,96.17,92.9,100.0,96.31,0.0,100.0,0.0
./data/detection/run_1/cif10/wrn_28_10_10/df/InputMFS/RF/log.txt,62.87,59.17,59.7,56.33,57.98,43.67,100.0,43.67
./data/detection/run_1/cif10/wrn_28_10_10/cw/InputMFS/RF/log.txt,61.15,57.5,57.6,56.67,57.14,43.33,100.0,43.33
./data/detection/run_1/cif10/wrn_28_10_10/fgsm/LayerMFS/LR/log.txt,99.96,99.33,99.3,99.33,99.33,0.67,92.6,0.62
./data/detection/run_1/cif10/wrn_28_10_10/bim/LayerMFS/LR/log.txt,99.5,96.33,95.7,97.0,96.36,3.0,100.0,3.0
./data/detection/run_1/cif10/wrn_28_10_10/pgd/LayerMFS/LR/log.txt,99.44,95.5,95.3,95.67,95.51,4.33,100.0,4.33
./data/detection/run_1/cif10/wrn_28_10_10/std/8_255/LayerMFS/LR/log.txt,99.9,98.0,98.0,98.0,98.0,2.0,100.0,2.0
./data/detection/run_1/cif10/wrn_28_10_10/df/LayerMFS/LR/log.txt,69.07,64.0,63.8,64.67,64.24,35.33,100.0,35.33
./data/detection/run_1/cif10/wrn_28_10_10/cw/LayerMFS/LR/log.txt,67.94,61.5,61.3,62.33,61.82,37.67,100.0,37.67
./data/detection/run_1/cif10/wrn_28_10_10/fgsm/LayerMFS/RF/log.txt,99.77,98.17,96.5,100.0,98.2,0.0,92.6,0.0
./data/detection/run_1/cif10/wrn_28_10_10/bim/LayerMFS/RF/log.txt,98.51,94.0,90.0,99.0,94.29,1.0,100.0,1.0
./data/detection/run_1/cif10/wrn_28_10_10/pgd/LayerMFS/RF/log.txt,98.46,94.17,89.6,100.0,94.49,0.0,100.0,0.0
./data/detection/run_1/cif10/wrn_28_10_10/std/8_255/LayerMFS/RF/log.txt,99.85,96.67,94.0,99.67,96.76,0.33,100.0,0.33
./data/detection/run_1/cif10/wrn_28_10_10/df/LayerMFS/RF/log.txt,63.01,59.5,60.0,57.0,58.46,43.0,100.0,43.0
./data/detection/run_1/cif10/wrn_28_10_10/cw/LayerMFS/RF/log.txt,58.09,55.33,55.4,54.67,55.03,45.33,100.0,45.33
