,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/cif10rn34/rn_34_0_10/fgsm/InputMFS/LR/log.txt,99.22,96.5,96.3,96.67,96.51,3.33,94.49,3.15
./data/detection/run_1/cif10rn34/rn_34_0_10/bim/InputMFS/LR/log.txt,95.33,91.17,88.5,94.67,91.47,5.33,100.0,5.33
./data/detection/run_1/cif10rn34/rn_34_0_10/pgd/InputMFS/LR/log.txt,95.86,89.83,88.4,91.67,90.02,8.33,100.0,8.33
./data/detection/run_1/cif10rn34/rn_34_0_10/std/8_255/InputMFS/LR/log.txt,96.65,92.17,91.5,93.0,92.23,7.0,100.0,7.0
./data/detection/run_1/cif10rn34/rn_34_0_10/df/InputMFS/LR/log.txt,55.61,53.67,53.6,54.0,53.82,46.0,100.0,46.0
./data/detection/run_1/cif10rn34/rn_34_0_10/cw/InputMFS/LR/log.txt,55.31,54.33,54.4,53.67,54.03,46.33,100.0,46.33
./data/detection/run_1/cif10rn34/rn_34_0_10/fgsm/InputMFS/RF/log.txt,99.99,98.0,96.2,100.0,98.04,0.0,94.49,0.0
./data/detection/run_1/cif10rn34/rn_34_0_10/bim/InputMFS/RF/log.txt,99.09,93.83,89.0,100.0,94.19,0.0,100.0,0.0
./data/detection/run_1/cif10rn34/rn_34_0_10/pgd/InputMFS/RF/log.txt,99.14,94.17,89.6,100.0,94.49,0.0,100.0,0.0
./data/detection/run_1/cif10rn34/rn_34_0_10/std/8_255/InputMFS/RF/log.txt,99.05,94.17,89.6,100.0,94.49,0.0,100.0,0.0
./data/detection/run_1/cif10rn34/rn_34_0_10/df/InputMFS/RF/log.txt,59.3,56.0,56.2,54.0,55.1,46.0,100.0,46.0
./data/detection/run_1/cif10rn34/rn_34_0_10/cw/InputMFS/RF/log.txt,57.93,54.67,54.7,54.67,54.67,45.33,100.0,45.33
./data/detection/run_1/cif10rn34/rn_34_0_10/fgsm/LayerMFS/LR/log.txt,99.36,96.17,95.7,96.67,96.19,3.33,94.49,3.15
./data/detection/run_1/cif10rn34/rn_34_0_10/bim/LayerMFS/LR/log.txt,99.93,99.17,100.0,98.33,99.16,1.67,100.0,1.67
./data/detection/run_1/cif10rn34/rn_34_0_10/pgd/LayerMFS/LR/log.txt,99.84,98.67,100.0,97.33,98.65,2.67,100.0,2.67
./data/detection/run_1/cif10rn34/rn_34_0_10/std/8_255/LayerMFS/LR/log.txt,100.0,99.67,100.0,99.33,99.67,0.67,100.0,0.67
./data/detection/run_1/cif10rn34/rn_34_0_10/df/LayerMFS/LR/log.txt,79.05,71.0,71.4,70.0,70.71,30.0,100.0,30.0
./data/detection/run_1/cif10rn34/rn_34_0_10/cw/LayerMFS/LR/log.txt,78.64,72.67,73.3,71.33,72.3,28.67,100.0,28.67
./data/detection/run_1/cif10rn34/rn_34_0_10/fgsm/LayerMFS/RF/log.txt,94.35,87.0,85.6,89.0,87.25,11.0,94.49,10.39
./data/detection/run_1/cif10rn34/rn_34_0_10/bim/LayerMFS/RF/log.txt,99.64,98.33,98.7,98.0,98.33,2.0,100.0,2.0
./data/detection/run_1/cif10rn34/rn_34_0_10/pgd/LayerMFS/RF/log.txt,99.7,98.0,98.0,98.0,98.0,2.0,100.0,2.0
./data/detection/run_1/cif10rn34/rn_34_0_10/std/8_255/LayerMFS/RF/log.txt,99.99,99.0,98.4,99.67,99.01,0.33,100.0,0.33
./data/detection/run_1/cif10rn34/rn_34_0_10/df/LayerMFS/RF/log.txt,84.25,79.67,73.8,92.0,81.9,8.0,100.0,8.0
./data/detection/run_1/cif10rn34/rn_34_0_10/cw/LayerMFS/RF/log.txt,84.71,78.33,73.4,89.0,80.42,11.0,100.0,11.0
