,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/celebaHQ64/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,90.94,82.17,82.9,81.0,81.96,19.0,99.93,18.99
./data/detection/run_2/celebaHQ64/wrn_28_10_4/bim/InputMFS/LR/log.txt,87.84,79.17,78.3,80.67,79.47,19.33,100.0,19.33
./data/detection/run_2/celebaHQ64/wrn_28_10_4/pgd/InputMFS/LR/log.txt,80.84,73.0,72.8,73.33,73.09,26.67,100.0,26.67
./data/detection/run_2/celebaHQ64/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,91.67,85.67,86.9,84.0,85.42,16.0,100.0,16.0
./data/detection/run_2/celebaHQ64/wrn_28_10_4/df/InputMFS/LR/log.txt,51.08,50.83,50.9,49.67,50.25,50.33,100.0,50.33
./data/detection/run_2/celebaHQ64/wrn_28_10_4/cw/InputMFS/LR/log.txt,50.43,50.17,50.2,48.67,49.41,51.33,100.0,51.33
./data/detection/run_2/celebaHQ64/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,86.68,79.17,76.4,84.33,80.19,15.67,99.93,15.66
./data/detection/run_2/celebaHQ64/wrn_28_10_4/bim/InputMFS/RF/log.txt,82.96,75.5,70.7,87.0,78.03,13.0,100.0,13.0
./data/detection/run_2/celebaHQ64/wrn_28_10_4/pgd/InputMFS/RF/log.txt,77.03,70.83,67.5,80.33,73.36,19.67,100.0,19.67
./data/detection/run_2/celebaHQ64/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,93.56,84.83,78.5,96.0,86.36,4.0,100.0,4.0
./data/detection/run_2/celebaHQ64/wrn_28_10_4/df/InputMFS/RF/log.txt,50.71,51.33,51.4,47.33,49.31,52.67,100.0,52.67
./data/detection/run_2/celebaHQ64/wrn_28_10_4/cw/InputMFS/RF/log.txt,49.4,49.0,49.0,49.33,49.17,50.67,100.0,50.67
./data/detection/run_2/celebaHQ64/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,99.87,97.5,97.3,97.67,97.5,2.33,99.93,2.33
./data/detection/run_2/celebaHQ64/wrn_28_10_4/bim/LayerMFS/LR/log.txt,99.33,96.0,96.6,95.33,95.97,4.67,100.0,4.67
./data/detection/run_2/celebaHQ64/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,98.85,94.67,95.3,94.0,94.63,6.0,100.0,6.0
./data/detection/run_2/celebaHQ64/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,99.77,97.0,96.7,97.33,97.01,2.67,100.0,2.67
./data/detection/run_2/celebaHQ64/wrn_28_10_4/df/LayerMFS/LR/log.txt,57.21,56.0,56.6,51.67,54.01,48.33,100.0,48.33
./data/detection/run_2/celebaHQ64/wrn_28_10_4/cw/LayerMFS/LR/log.txt,56.4,54.17,54.6,49.67,52.01,50.33,100.0,50.33
./data/detection/run_2/celebaHQ64/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,99.93,0.0
./data/detection/run_2/celebaHQ64/wrn_28_10_4/bim/LayerMFS/RF/log.txt,99.97,99.5,99.0,100.0,99.5,0.0,100.0,0.0
./data/detection/run_2/celebaHQ64/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,99.83,97.67,96.7,98.67,97.69,1.33,100.0,1.33
./data/detection/run_2/celebaHQ64/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0
./data/detection/run_2/celebaHQ64/wrn_28_10_4/df/LayerMFS/RF/log.txt,54.43,52.5,52.9,46.33,49.38,53.67,100.0,53.67
./data/detection/run_2/celebaHQ64/wrn_28_10_4/cw/LayerMFS/RF/log.txt,51.88,52.0,52.1,48.67,50.34,51.33,100.0,51.33
