,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/imagenet/wrn_50_2/fgsm/InputMFS/LR/log.txt,93.12,86.5,86.4,86.67,86.52,13.33,86.6,11.54
./data/detection/run_2/imagenet/wrn_50_2/bim/InputMFS/LR/log.txt,82.15,76.5,76.1,77.33,76.69,22.67,99.95,22.66
./data/detection/run_2/imagenet/wrn_50_2/pgd/InputMFS/LR/log.txt,90.53,86.5,85.9,87.33,86.61,12.67,99.95,12.66
./data/detection/run_2/imagenet/wrn_50_2/std/8_255/InputMFS/LR/log.txt,91.26,85.17,84.4,86.33,85.34,13.67,100.0,13.67
./data/detection/run_2/imagenet/wrn_50_2/df/InputMFS/LR/log.txt,50.08,49.83,49.8,52.0,50.9,48.0,100.0,48.0
./data/detection/run_2/imagenet/wrn_50_2/cw/InputMFS/LR/log.txt,50.66,50.5,50.5,48.33,49.4,51.67,100.0,51.67
./data/detection/run_2/imagenet/wrn_50_2/fgsm/InputMFS/RF/log.txt,98.95,91.83,86.0,100.0,92.45,0.0,86.6,0.0
./data/detection/run_2/imagenet/wrn_50_2/bim/InputMFS/RF/log.txt,93.49,81.83,73.8,98.67,84.45,1.33,99.95,1.33
./data/detection/run_2/imagenet/wrn_50_2/pgd/InputMFS/RF/log.txt,98.08,89.83,83.1,100.0,90.77,0.0,99.95,0.0
./data/detection/run_2/imagenet/wrn_50_2/std/8_255/InputMFS/RF/log.txt,97.43,87.0,79.4,100.0,88.5,0.0,100.0,0.0
./data/detection/run_2/imagenet/wrn_50_2/df/InputMFS/RF/log.txt,49.44,48.5,48.6,51.0,49.76,49.0,100.0,49.0
./data/detection/run_2/imagenet/wrn_50_2/cw/InputMFS/RF/log.txt,53.38,52.33,52.4,51.33,51.85,48.67,100.0,48.67
./data/detection/run_2/imagenet/wrn_50_2/fgsm/LayerMFS/LR/log.txt,97.09,91.83,90.6,93.33,91.95,6.67,86.6,5.78
./data/detection/run_2/imagenet/wrn_50_2/bim/LayerMFS/LR/log.txt,99.15,95.17,98.9,91.33,94.97,8.67,99.95,8.67
./data/detection/run_2/imagenet/wrn_50_2/pgd/LayerMFS/LR/log.txt,99.1,96.67,99.6,93.67,96.56,6.33,99.95,6.33
./data/detection/run_2/imagenet/wrn_50_2/std/8_255/LayerMFS/LR/log.txt,99.9,99.67,100.0,99.33,99.67,0.67,100.0,0.67
./data/detection/run_2/imagenet/wrn_50_2/df/LayerMFS/LR/log.txt,59.32,57.17,56.4,63.33,59.65,36.67,100.0,36.67
./data/detection/run_2/imagenet/wrn_50_2/cw/LayerMFS/LR/log.txt,61.87,57.83,57.2,62.0,59.52,38.0,100.0,38.0
./data/detection/run_2/imagenet/wrn_50_2/fgsm/LayerMFS/RF/log.txt,93.22,86.0,82.9,90.67,86.62,9.33,86.6,8.08
./data/detection/run_2/imagenet/wrn_50_2/bim/LayerMFS/RF/log.txt,98.92,94.67,95.6,93.67,94.61,6.33,99.95,6.33
./data/detection/run_2/imagenet/wrn_50_2/pgd/LayerMFS/RF/log.txt,99.37,97.0,97.0,97.0,97.0,3.0,99.95,3.0
./data/detection/run_2/imagenet/wrn_50_2/std/8_255/LayerMFS/RF/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_2/imagenet/wrn_50_2/df/LayerMFS/RF/log.txt,55.39,52.0,52.0,52.33,52.16,47.67,100.0,47.67
./data/detection/run_2/imagenet/wrn_50_2/cw/LayerMFS/RF/log.txt,59.06,54.83,54.9,54.33,54.61,45.67,100.0,45.67
