,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/cif10_rb/wrn_28_10_10/fgsm/InputMFS/LR/log.txt,91.02,88.0,85.4,91.67,88.42,8.33,66.24,5.52
./data/detection/run_3/cif10_rb/wrn_28_10_10/bim/InputMFS/LR/log.txt,88.8,84.5,81.8,88.67,85.12,11.33,79.73,9.03
./data/detection/run_3/cif10_rb/wrn_28_10_10/pgd/InputMFS/LR/log.txt,90.42,84.5,83.9,85.33,84.63,14.67,73.97,10.85
./data/detection/run_3/cif10_rb/wrn_28_10_10/std/8_255/InputMFS/LR/log.txt,88.93,80.33,78.8,83.0,80.84,17.0,27.42,4.66
./data/detection/run_3/cif10_rb/wrn_28_10_10/df/InputMFS/LR/log.txt,65.21,60.17,61.4,54.67,57.85,45.33,100.0,45.33
./data/detection/run_3/cif10_rb/wrn_28_10_10/cw/InputMFS/LR/log.txt,60.1,57.17,57.8,53.0,55.3,47.0,100.0,47.0
./data/detection/run_3/cif10_rb/wrn_28_10_10/fgsm/InputMFS/RF/log.txt,97.94,91.33,85.2,100.0,92.02,0.0,66.24,0.0
./data/detection/run_3/cif10_rb/wrn_28_10_10/bim/InputMFS/RF/log.txt,96.32,89.17,82.2,100.0,90.23,0.0,79.73,0.0
./data/detection/run_3/cif10_rb/wrn_28_10_10/pgd/InputMFS/RF/log.txt,98.12,90.5,84.4,99.33,91.27,0.67,73.97,0.5
./data/detection/run_3/cif10_rb/wrn_28_10_10/std/8_255/InputMFS/RF/log.txt,97.36,91.0,85.1,99.33,91.69,0.67,27.42,0.18
./data/detection/run_3/cif10_rb/wrn_28_10_10/df/InputMFS/RF/log.txt,70.54,65.83,67.1,62.0,64.47,38.0,100.0,38.0
./data/detection/run_3/cif10_rb/wrn_28_10_10/cw/InputMFS/RF/log.txt,66.81,62.0,63.2,57.33,60.14,42.67,100.0,42.67
./data/detection/run_3/cif10_rb/wrn_28_10_10/fgsm/LayerMFS/LR/log.txt,94.35,88.5,86.9,90.67,88.74,9.33,66.24,6.18
./data/detection/run_3/cif10_rb/wrn_28_10_10/bim/LayerMFS/LR/log.txt,88.81,83.17,81.2,86.33,83.68,13.67,79.73,10.9
./data/detection/run_3/cif10_rb/wrn_28_10_10/pgd/LayerMFS/LR/log.txt,89.49,83.5,83.0,84.33,83.64,15.67,73.97,11.59
./data/detection/run_3/cif10_rb/wrn_28_10_10/std/8_255/LayerMFS/LR/log.txt,83.33,75.5,77.4,72.0,74.61,28.0,27.42,7.68
./data/detection/run_3/cif10_rb/wrn_28_10_10/df/LayerMFS/LR/log.txt,71.49,65.17,65.7,63.33,64.52,36.67,100.0,36.67
./data/detection/run_3/cif10_rb/wrn_28_10_10/cw/LayerMFS/LR/log.txt,68.38,62.5,63.2,60.0,61.54,40.0,100.0,40.0
./data/detection/run_3/cif10_rb/wrn_28_10_10/fgsm/LayerMFS/RF/log.txt,91.73,81.83,77.8,89.0,83.05,11.0,66.24,7.29
./data/detection/run_3/cif10_rb/wrn_28_10_10/bim/LayerMFS/RF/log.txt,87.54,78.67,75.9,84.0,79.75,16.0,79.73,12.76
./data/detection/run_3/cif10_rb/wrn_28_10_10/pgd/LayerMFS/RF/log.txt,88.37,79.33,74.9,88.33,81.04,11.67,73.97,8.63
./data/detection/run_3/cif10_rb/wrn_28_10_10/std/8_255/LayerMFS/RF/log.txt,80.48,72.17,71.1,74.67,72.85,25.33,27.42,6.95
./data/detection/run_3/cif10_rb/wrn_28_10_10/df/LayerMFS/RF/log.txt,66.54,60.33,60.8,58.33,59.52,41.67,100.0,41.67
./data/detection/run_3/cif10_rb/wrn_28_10_10/cw/LayerMFS/RF/log.txt,65.61,59.33,59.7,57.33,58.5,42.67,100.0,42.67
