,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/cif10vgg/vgg_16_0_10/fgsm/InputMFS/LR/log.txt,99.46,97.0,96.5,97.5,97.01,2.5,96.19,2.4
./data/detection/run_3/cif10vgg/vgg_16_0_10/bim/InputMFS/LR/log.txt,95.86,89.75,89.6,90.0,89.78,10.0,100.0,10.0
./data/detection/run_3/cif10vgg/vgg_16_0_10/pgd/InputMFS/LR/log.txt,96.03,90.12,90.4,89.75,90.09,10.25,100.0,10.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/std/8_255/InputMFS/LR/log.txt,98.25,95.0,95.5,94.5,94.97,5.5,100.0,5.5
./data/detection/run_3/cif10vgg/vgg_16_0_10/df/InputMFS/LR/log.txt,58.67,57.88,58.6,53.5,55.95,46.5,100.0,46.5
./data/detection/run_3/cif10vgg/vgg_16_0_10/cw/InputMFS/LR/log.txt,54.92,54.37,54.9,48.75,51.66,51.25,100.0,51.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/fgsm/InputMFS/RF/log.txt,99.91,97.12,94.6,100.0,97.21,0.0,96.19,0.0
./data/detection/run_3/cif10vgg/vgg_16_0_10/bim/InputMFS/RF/log.txt,98.43,94.38,90.1,99.75,94.66,0.25,100.0,0.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/pgd/InputMFS/RF/log.txt,99.1,94.88,90.9,99.75,95.11,0.25,100.0,0.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/std/8_255/InputMFS/RF/log.txt,99.24,94.75,90.5,100.0,95.01,0.0,100.0,0.0
./data/detection/run_3/cif10vgg/vgg_16_0_10/df/InputMFS/RF/log.txt,61.94,58.75,58.8,58.25,58.54,41.75,100.0,41.75
./data/detection/run_3/cif10vgg/vgg_16_0_10/cw/InputMFS/RF/log.txt,59.48,56.75,56.4,59.25,57.8,40.75,100.0,40.75
./data/detection/run_3/cif10vgg/vgg_16_0_10/fgsm/LayerMFS/LR/log.txt,100.0,99.25,98.5,100.0,99.26,0.0,96.19,0.0
./data/detection/run_3/cif10vgg/vgg_16_0_10/bim/LayerMFS/LR/log.txt,99.96,99.12,99.2,99.0,99.12,1.0,100.0,1.0
./data/detection/run_3/cif10vgg/vgg_16_0_10/pgd/LayerMFS/LR/log.txt,99.89,98.75,98.8,98.75,98.75,1.25,100.0,1.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/std/8_255/LayerMFS/LR/log.txt,100.0,99.75,99.8,99.75,99.75,0.25,100.0,0.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/df/LayerMFS/LR/log.txt,76.61,70.38,69.8,71.75,70.78,28.25,100.0,28.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/cw/LayerMFS/LR/log.txt,74.62,68.38,67.5,70.75,69.11,29.25,100.0,29.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/fgsm/LayerMFS/RF/log.txt,99.53,97.38,96.6,98.25,97.4,1.75,96.19,1.68
./data/detection/run_3/cif10vgg/vgg_16_0_10/bim/LayerMFS/RF/log.txt,99.64,97.0,97.2,96.75,96.99,3.25,100.0,3.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/pgd/LayerMFS/RF/log.txt,99.27,95.75,95.5,96.0,95.76,4.0,100.0,4.0
./data/detection/run_3/cif10vgg/vgg_16_0_10/std/8_255/LayerMFS/RF/log.txt,99.97,98.75,98.5,99.0,98.75,1.0,100.0,1.0
./data/detection/run_3/cif10vgg/vgg_16_0_10/df/LayerMFS/RF/log.txt,90.87,84.62,78.3,95.75,86.16,4.25,100.0,4.25
./data/detection/run_3/cif10vgg/vgg_16_0_10/cw/LayerMFS/RF/log.txt,92.07,84.62,78.3,95.75,86.16,4.25,100.0,4.25
