,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/imagenet128/wrn_28_10/fgsm/InputMFS/LR/log.txt,91.2,83.33,81.8,85.67,83.71,14.33,96.07,13.77
./data/detection/run_3/imagenet128/wrn_28_10/bim/InputMFS/LR/log.txt,73.81,67.33,67.0,68.33,67.66,31.67,99.95,31.65
./data/detection/run_3/imagenet128/wrn_28_10/pgd/InputMFS/LR/log.txt,75.33,70.5,70.4,70.67,70.55,29.33,100.0,29.33
./data/detection/run_3/imagenet128/wrn_28_10/std/8_255/InputMFS/LR/log.txt,82.4,76.17,73.7,81.33,77.34,18.67,100.0,18.67
./data/detection/run_3/imagenet128/wrn_28_10/df/InputMFS/LR/log.txt,50.04,50.0,50.0,46.0,47.92,54.0,100.0,54.0
./data/detection/run_3/imagenet128/wrn_28_10/cw/InputMFS/LR/log.txt,50.15,50.33,50.4,41.67,45.62,58.33,100.0,58.33
./data/detection/run_3/imagenet128/wrn_28_10/fgsm/InputMFS/RF/log.txt,96.25,86.5,78.9,99.67,88.07,0.33,96.07,0.32
./data/detection/run_3/imagenet128/wrn_28_10/bim/InputMFS/RF/log.txt,83.85,76.33,70.1,92.0,79.54,8.0,99.95,8.0
./data/detection/run_3/imagenet128/wrn_28_10/pgd/InputMFS/RF/log.txt,83.43,76.17,69.4,93.67,79.72,6.33,100.0,6.33
./data/detection/run_3/imagenet128/wrn_28_10/std/8_255/InputMFS/RF/log.txt,92.89,82.83,74.8,99.0,85.22,1.0,100.0,1.0
./data/detection/run_3/imagenet128/wrn_28_10/df/InputMFS/RF/log.txt,49.75,50.83,50.8,50.67,50.75,49.33,100.0,49.33
./data/detection/run_3/imagenet128/wrn_28_10/cw/InputMFS/RF/log.txt,50.26,49.33,49.3,49.33,49.33,50.67,100.0,50.67
./data/detection/run_3/imagenet128/wrn_28_10/fgsm/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,96.07,0.0
./data/detection/run_3/imagenet128/wrn_28_10/bim/LayerMFS/LR/log.txt,100.0,99.33,99.0,99.67,99.34,0.33,99.95,0.33
./data/detection/run_3/imagenet128/wrn_28_10/pgd/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,100.0,0.0
./data/detection/run_3/imagenet128/wrn_28_10/std/8_255/LayerMFS/LR/log.txt,99.9,99.33,98.7,100.0,99.34,0.0,100.0,0.0
./data/detection/run_3/imagenet128/wrn_28_10/df/LayerMFS/LR/log.txt,50.04,50.17,50.2,48.33,49.24,51.67,100.0,51.67
./data/detection/run_3/imagenet128/wrn_28_10/cw/LayerMFS/LR/log.txt,50.01,50.0,50.0,47.86,48.91,52.14,100.0,52.14
./data/detection/run_3/imagenet128/wrn_28_10/fgsm/LayerMFS/RF/log.txt,99.99,99.5,99.3,99.67,99.5,0.33,96.07,0.32
./data/detection/run_3/imagenet128/wrn_28_10/bim/LayerMFS/RF/log.txt,99.96,99.0,98.0,100.0,99.01,0.0,99.95,0.0
./data/detection/run_3/imagenet128/wrn_28_10/pgd/LayerMFS/RF/log.txt,99.97,98.83,97.7,100.0,98.85,0.0,100.0,0.0
./data/detection/run_3/imagenet128/wrn_28_10/std/8_255/LayerMFS/RF/log.txt,99.91,98.17,97.1,99.33,98.19,0.67,100.0,0.67
./data/detection/run_3/imagenet128/wrn_28_10/df/LayerMFS/RF/log.txt,50.12,50.17,50.2,50.0,50.08,50.0,100.0,50.0
./data/detection/run_3/imagenet128/wrn_28_10/cw/LayerMFS/RF/log.txt,50.01,49.83,49.8,48.67,49.24,51.33,100.0,51.33
