,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/cif100/wrn_28_10_100/fgsm/InputMFS/LR/log.txt,99.33,96.5,97.6,95.33,96.46,4.67,86.68,4.05
./data/detection/run_1/cif100/wrn_28_10_100/bim/InputMFS/LR/log.txt,93.86,87.5,86.2,89.33,87.73,10.67,99.8,10.65
./data/detection/run_1/cif100/wrn_28_10_100/pgd/InputMFS/LR/log.txt,95.02,90.67,90.9,90.33,90.64,9.67,99.95,9.67
./data/detection/run_1/cif100/wrn_28_10_100/std/8_255/InputMFS/LR/log.txt,97.52,92.67,93.8,91.33,92.57,8.67,100.0,8.67
./data/detection/run_1/cif100/wrn_28_10_100/df/InputMFS/LR/log.txt,54.04,54.0,54.7,47.0,50.54,53.0,100.0,53.0
./data/detection/run_1/cif100/wrn_28_10_100/cw/InputMFS/LR/log.txt,53.33,52.33,52.6,46.67,49.47,53.33,100.0,53.33
./data/detection/run_1/cif100/wrn_28_10_100/fgsm/InputMFS/RF/log.txt,99.85,98.67,97.4,100.0,98.68,0.0,86.68,0.0
./data/detection/run_1/cif100/wrn_28_10_100/bim/InputMFS/RF/log.txt,98.62,94.17,89.6,100.0,94.49,0.0,99.8,0.0
./data/detection/run_1/cif100/wrn_28_10_100/pgd/InputMFS/RF/log.txt,99.21,92.5,87.0,100.0,93.02,0.0,99.95,0.0
./data/detection/run_1/cif100/wrn_28_10_100/std/8_255/InputMFS/RF/log.txt,99.78,96.67,94.0,99.67,96.76,0.33,100.0,0.33
./data/detection/run_1/cif100/wrn_28_10_100/df/InputMFS/RF/log.txt,60.31,57.5,57.0,61.33,59.07,38.67,100.0,38.67
./data/detection/run_1/cif100/wrn_28_10_100/cw/InputMFS/RF/log.txt,60.22,58.33,58.1,60.0,59.02,40.0,100.0,40.0
./data/detection/run_1/cif100/wrn_28_10_100/fgsm/LayerMFS/LR/log.txt,99.99,99.5,99.3,99.67,99.5,0.33,86.68,0.29
./data/detection/run_1/cif100/wrn_28_10_100/bim/LayerMFS/LR/log.txt,99.21,96.0,94.5,97.67,96.07,2.33,99.8,2.33
./data/detection/run_1/cif100/wrn_28_10_100/pgd/LayerMFS/LR/log.txt,98.33,95.67,95.1,96.33,95.7,3.67,99.95,3.67
./data/detection/run_1/cif100/wrn_28_10_100/std/8_255/LayerMFS/LR/log.txt,99.69,97.33,96.7,98.0,97.35,2.0,100.0,2.0
./data/detection/run_1/cif100/wrn_28_10_100/df/LayerMFS/LR/log.txt,69.21,64.17,65.9,58.67,62.08,41.33,100.0,41.33
./data/detection/run_1/cif100/wrn_28_10_100/cw/LayerMFS/LR/log.txt,68.36,61.5,62.5,57.67,59.97,42.33,100.0,42.33
./data/detection/run_1/cif100/wrn_28_10_100/fgsm/LayerMFS/RF/log.txt,99.96,98.0,96.5,99.67,98.03,0.33,86.68,0.29
./data/detection/run_1/cif100/wrn_28_10_100/bim/LayerMFS/RF/log.txt,99.21,95.5,91.7,100.0,95.69,0.0,99.8,0.0
./data/detection/run_1/cif100/wrn_28_10_100/pgd/LayerMFS/RF/log.txt,99.31,95.17,91.4,99.67,95.37,0.33,99.95,0.33
./data/detection/run_1/cif100/wrn_28_10_100/std/8_255/LayerMFS/RF/log.txt,99.7,97.67,95.5,100.0,97.72,0.0,100.0,0.0
./data/detection/run_1/cif100/wrn_28_10_100/df/LayerMFS/RF/log.txt,65.24,61.33,61.6,60.0,60.81,40.0,100.0,40.0
./data/detection/run_1/cif100/wrn_28_10_100/cw/LayerMFS/RF/log.txt,63.57,60.83,61.5,58.0,59.69,42.0,100.0,42.0
