,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_1/cif100vgg/vgg_16_0_100/fgsm/InputMFS/LR/log.txt,98.24,94.0,93.6,94.5,94.03,5.5,72.27,3.97
./data/detection/run_1/cif100vgg/vgg_16_0_100/bim/InputMFS/LR/log.txt,94.24,88.25,87.9,88.75,88.31,11.25,98.19,11.05
./data/detection/run_1/cif100vgg/vgg_16_0_100/pgd/InputMFS/LR/log.txt,95.25,90.0,90.0,90.0,90.0,10.0,98.0,9.8
./data/detection/run_1/cif100vgg/vgg_16_0_100/std/8_255/InputMFS/LR/log.txt,95.74,89.88,89.8,90.0,89.89,10.0,100.0,10.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/df/InputMFS/LR/log.txt,55.89,54.37,55.1,47.0,50.74,53.0,100.0,53.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/cw/InputMFS/LR/log.txt,52.14,51.0,51.1,45.75,48.28,54.25,100.0,54.25
./data/detection/run_1/cif100vgg/vgg_16_0_100/fgsm/InputMFS/RF/log.txt,99.66,96.25,93.0,100.0,96.39,0.0,72.27,0.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/bim/InputMFS/RF/log.txt,98.78,93.5,88.5,100.0,93.9,0.0,98.19,0.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/pgd/InputMFS/RF/log.txt,99.22,94.38,89.9,100.0,94.67,0.0,98.0,0.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/std/8_255/InputMFS/RF/log.txt,99.32,95.88,92.4,100.0,96.04,0.0,100.0,0.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/df/InputMFS/RF/log.txt,67.71,61.62,61.7,61.5,61.58,38.5,100.0,38.5
./data/detection/run_1/cif100vgg/vgg_16_0_100/cw/InputMFS/RF/log.txt,57.55,55.62,55.1,60.25,57.59,39.75,100.0,39.75
./data/detection/run_1/cif100vgg/vgg_16_0_100/fgsm/LayerMFS/LR/log.txt,98.46,95.5,95.0,96.0,95.52,4.0,72.27,2.89
./data/detection/run_1/cif100vgg/vgg_16_0_100/bim/LayerMFS/LR/log.txt,94.5,88.75,88.2,89.5,88.83,10.5,98.19,10.31
./data/detection/run_1/cif100vgg/vgg_16_0_100/pgd/LayerMFS/LR/log.txt,96.22,90.62,90.9,90.25,90.59,9.75,98.0,9.56
./data/detection/run_1/cif100vgg/vgg_16_0_100/std/8_255/LayerMFS/LR/log.txt,95.62,89.75,89.4,90.25,89.8,9.75,100.0,9.75
./data/detection/run_1/cif100vgg/vgg_16_0_100/df/LayerMFS/LR/log.txt,71.23,65.5,65.9,64.25,65.06,35.75,100.0,35.75
./data/detection/run_1/cif100vgg/vgg_16_0_100/cw/LayerMFS/LR/log.txt,71.28,65.25,65.8,63.5,64.63,36.5,100.0,36.5
./data/detection/run_1/cif100vgg/vgg_16_0_100/fgsm/LayerMFS/RF/log.txt,99.7,96.25,93.0,100.0,96.39,0.0,72.27,0.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/bim/LayerMFS/RF/log.txt,98.87,93.38,88.3,100.0,93.79,0.0,98.19,0.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/pgd/LayerMFS/RF/log.txt,99.05,94.75,90.5,100.0,95.01,0.0,98.0,0.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/std/8_255/LayerMFS/RF/log.txt,99.73,96.38,93.2,100.0,96.5,0.0,100.0,0.0
./data/detection/run_1/cif100vgg/vgg_16_0_100/df/LayerMFS/RF/log.txt,74.53,68.38,68.7,67.5,68.1,32.5,100.0,32.5
./data/detection/run_1/cif100vgg/vgg_16_0_100/cw/LayerMFS/RF/log.txt,80.04,72.62,71.2,76.0,73.52,24.0,100.0,24.0
