,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_2/imagenet64/wrn_28_10/fgsm/InputMFS/LR/log.txt,93.47,86.83,85.1,89.33,87.15,10.67,88.93,9.49
./data/detection/run_2/imagenet64/wrn_28_10/bim/InputMFS/LR/log.txt,81.05,73.0,73.8,71.33,72.54,28.67,100.0,28.67
./data/detection/run_2/imagenet64/wrn_28_10/pgd/InputMFS/LR/log.txt,81.55,73.0,71.6,76.33,73.87,23.67,100.0,23.67
./data/detection/run_2/imagenet64/wrn_28_10/std/8_255/InputMFS/LR/log.txt,81.64,74.17,74.4,73.67,74.04,26.33,100.0,26.33
./data/detection/run_2/imagenet64/wrn_28_10/df/InputMFS/LR/log.txt,50.0,50.0,50.0,50.67,50.33,49.33,100.0,49.33
./data/detection/run_2/imagenet64/wrn_28_10/cw/InputMFS/LR/log.txt,50.17,50.0,50.0,46.0,47.92,54.0,100.0,54.0
./data/detection/run_2/imagenet64/wrn_28_10/fgsm/InputMFS/RF/log.txt,97.94,89.67,83.1,99.67,90.61,0.33,88.93,0.29
./data/detection/run_2/imagenet64/wrn_28_10/bim/InputMFS/RF/log.txt,90.6,79.67,72.8,94.67,82.32,5.33,100.0,5.33
./data/detection/run_2/imagenet64/wrn_28_10/pgd/InputMFS/RF/log.txt,89.57,78.0,71.5,93.0,80.87,7.0,100.0,7.0
./data/detection/run_2/imagenet64/wrn_28_10/std/8_255/InputMFS/RF/log.txt,89.9,81.67,74.6,96.0,83.97,4.0,100.0,4.0
./data/detection/run_2/imagenet64/wrn_28_10/df/InputMFS/RF/log.txt,50.0,50.0,50.0,49.33,49.66,50.67,100.0,50.67
./data/detection/run_2/imagenet64/wrn_28_10/cw/InputMFS/RF/log.txt,49.26,49.17,49.1,45.0,46.96,55.0,100.0,55.0
./data/detection/run_2/imagenet64/wrn_28_10/fgsm/LayerMFS/LR/log.txt,100.0,99.83,99.7,100.0,99.83,0.0,88.93,0.0
./data/detection/run_2/imagenet64/wrn_28_10/bim/LayerMFS/LR/log.txt,99.98,99.67,99.3,100.0,99.67,0.0,100.0,0.0
./data/detection/run_2/imagenet64/wrn_28_10/pgd/LayerMFS/LR/log.txt,100.0,99.67,99.3,100.0,99.67,0.0,100.0,0.0
./data/detection/run_2/imagenet64/wrn_28_10/std/8_255/LayerMFS/LR/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0
./data/detection/run_2/imagenet64/wrn_28_10/df/LayerMFS/LR/log.txt,50.0,50.0,50.0,52.0,50.98,48.0,100.0,48.0
./data/detection/run_2/imagenet64/wrn_28_10/cw/LayerMFS/LR/log.txt,57.36,55.0,55.2,53.33,54.24,46.67,100.0,46.67
./data/detection/run_2/imagenet64/wrn_28_10/fgsm/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,88.93,0.0
./data/detection/run_2/imagenet64/wrn_28_10/bim/LayerMFS/RF/log.txt,100.0,99.67,99.3,100.0,99.67,0.0,100.0,0.0
./data/detection/run_2/imagenet64/wrn_28_10/pgd/LayerMFS/RF/log.txt,100.0,99.67,99.3,100.0,99.67,0.0,100.0,0.0
./data/detection/run_2/imagenet64/wrn_28_10/std/8_255/LayerMFS/RF/log.txt,99.97,99.67,99.3,100.0,99.67,0.0,100.0,0.0
./data/detection/run_2/imagenet64/wrn_28_10/df/LayerMFS/RF/log.txt,50.0,50.0,50.0,49.0,49.49,51.0,100.0,51.0
./data/detection/run_2/imagenet64/wrn_28_10/cw/LayerMFS/RF/log.txt,53.66,52.33,52.5,49.0,50.69,51.0,100.0,51.0
