,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/celebaHQ64/wrn_28_10_4/fgsm/InputMFS/LR/log.txt,85.31,78.33,76.9,81.0,78.9,19.0,100.0,19.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/bim/InputMFS/LR/log.txt,85.2,77.67,76.3,80.33,78.25,19.67,100.0,19.67
./data/detection/run_3/celebaHQ64/wrn_28_10_4/pgd/InputMFS/LR/log.txt,77.97,72.0,70.9,74.67,72.73,25.33,100.0,25.33
./data/detection/run_3/celebaHQ64/wrn_28_10_4/std/8_255/InputMFS/LR/log.txt,89.09,82.0,83.8,79.33,81.51,20.67,100.0,20.67
./data/detection/run_3/celebaHQ64/wrn_28_10_4/df/InputMFS/LR/log.txt,50.99,51.0,51.0,50.67,50.84,49.33,100.0,49.33
./data/detection/run_3/celebaHQ64/wrn_28_10_4/cw/InputMFS/LR/log.txt,50.32,50.17,50.2,46.33,48.18,53.67,100.0,53.67
./data/detection/run_3/celebaHQ64/wrn_28_10_4/fgsm/InputMFS/RF/log.txt,81.34,73.67,68.8,86.67,76.7,13.33,100.0,13.33
./data/detection/run_3/celebaHQ64/wrn_28_10_4/bim/InputMFS/RF/log.txt,81.82,74.33,69.9,85.33,76.88,14.67,100.0,14.67
./data/detection/run_3/celebaHQ64/wrn_28_10_4/pgd/InputMFS/RF/log.txt,75.45,69.5,65.9,80.67,72.56,19.33,100.0,19.33
./data/detection/run_3/celebaHQ64/wrn_28_10_4/std/8_255/InputMFS/RF/log.txt,94.79,85.33,78.8,96.67,86.83,3.33,100.0,3.33
./data/detection/run_3/celebaHQ64/wrn_28_10_4/df/InputMFS/RF/log.txt,49.46,49.33,49.3,48.0,48.65,52.0,100.0,52.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/cw/InputMFS/RF/log.txt,50.73,51.17,51.3,45.0,47.96,55.0,100.0,55.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/fgsm/LayerMFS/LR/log.txt,99.69,97.83,98.0,97.67,97.83,2.33,100.0,2.33
./data/detection/run_3/celebaHQ64/wrn_28_10_4/bim/LayerMFS/LR/log.txt,99.3,95.5,95.0,96.0,95.52,4.0,100.0,4.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/pgd/LayerMFS/LR/log.txt,98.54,94.67,94.1,95.33,94.7,4.67,100.0,4.67
./data/detection/run_3/celebaHQ64/wrn_28_10_4/std/8_255/LayerMFS/LR/log.txt,99.74,98.67,99.0,98.33,98.66,1.67,100.0,1.67
./data/detection/run_3/celebaHQ64/wrn_28_10_4/df/LayerMFS/LR/log.txt,58.97,55.83,56.0,54.67,55.31,45.33,100.0,45.33
./data/detection/run_3/celebaHQ64/wrn_28_10_4/cw/LayerMFS/LR/log.txt,57.79,56.0,56.2,54.0,55.1,46.0,100.0,46.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/fgsm/LayerMFS/RF/log.txt,100.0,99.33,98.7,100.0,99.34,0.0,100.0,0.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/bim/LayerMFS/RF/log.txt,99.99,99.5,99.0,100.0,99.5,0.0,100.0,0.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/pgd/LayerMFS/RF/log.txt,99.88,97.83,97.4,98.33,97.84,1.67,100.0,1.67
./data/detection/run_3/celebaHQ64/wrn_28_10_4/std/8_255/LayerMFS/RF/log.txt,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/df/LayerMFS/RF/log.txt,55.12,53.33,53.2,56.0,54.55,44.0,100.0,44.0
./data/detection/run_3/celebaHQ64/wrn_28_10_4/cw/LayerMFS/RF/log.txt,50.69,50.17,50.2,51.33,50.74,48.67,100.0,48.67
