,auc,acc,pre,tpr,f1,fnr,asr,asrd
./data/detection/run_3/cif100rn34/rn_34_0_100/fgsm/InputMFS/LR/log.txt,98.65,95.0,94.1,96.0,95.05,4.0,96.42,3.86
./data/detection/run_3/cif100rn34/rn_34_0_100/bim/InputMFS/LR/log.txt,96.81,93.0,91.6,94.67,93.11,5.33,99.95,5.33
./data/detection/run_3/cif100rn34/rn_34_0_100/pgd/InputMFS/LR/log.txt,96.59,93.17,91.1,95.67,93.33,4.33,100.0,4.33
./data/detection/run_3/cif100rn34/rn_34_0_100/std/8_255/InputMFS/LR/log.txt,97.08,92.0,92.9,91.0,91.92,9.0,100.0,9.0
./data/detection/run_3/cif100rn34/rn_34_0_100/df/InputMFS/LR/log.txt,54.62,53.0,53.4,47.0,50.0,53.0,100.0,53.0
./data/detection/run_3/cif100rn34/rn_34_0_100/cw/InputMFS/LR/log.txt,54.89,53.0,53.5,46.33,49.64,53.67,100.0,53.67
./data/detection/run_3/cif100rn34/rn_34_0_100/fgsm/InputMFS/RF/log.txt,99.7,97.5,95.2,100.0,97.56,0.0,96.42,0.0
./data/detection/run_3/cif100rn34/rn_34_0_100/bim/InputMFS/RF/log.txt,99.39,95.5,91.7,100.0,95.69,0.0,99.95,0.0
./data/detection/run_3/cif100rn34/rn_34_0_100/pgd/InputMFS/RF/log.txt,99.69,95.67,92.0,100.0,95.85,0.0,100.0,0.0
./data/detection/run_3/cif100rn34/rn_34_0_100/std/8_255/InputMFS/RF/log.txt,99.47,96.0,92.6,100.0,96.15,0.0,100.0,0.0
./data/detection/run_3/cif100rn34/rn_34_0_100/df/InputMFS/RF/log.txt,58.25,55.83,56.1,54.0,55.01,46.0,100.0,46.0
./data/detection/run_3/cif100rn34/rn_34_0_100/cw/InputMFS/RF/log.txt,59.46,57.33,56.7,62.0,59.24,38.0,100.0,38.0
./data/detection/run_3/cif100rn34/rn_34_0_100/fgsm/LayerMFS/LR/log.txt,99.45,97.0,96.7,97.33,97.01,2.67,96.42,2.57
./data/detection/run_3/cif100rn34/rn_34_0_100/bim/LayerMFS/LR/log.txt,97.83,93.67,94.9,92.33,93.58,7.67,99.95,7.67
./data/detection/run_3/cif100rn34/rn_34_0_100/pgd/LayerMFS/LR/log.txt,97.81,94.33,93.8,95.0,94.37,5.0,100.0,5.0
./data/detection/run_3/cif100rn34/rn_34_0_100/std/8_255/LayerMFS/LR/log.txt,97.96,93.67,95.2,92.0,93.56,8.0,100.0,8.0
./data/detection/run_3/cif100rn34/rn_34_0_100/df/LayerMFS/LR/log.txt,59.58,55.17,54.7,59.67,57.1,40.33,100.0,40.33
./data/detection/run_3/cif100rn34/rn_34_0_100/cw/LayerMFS/LR/log.txt,60.59,57.0,56.2,63.0,59.43,37.0,100.0,37.0
./data/detection/run_3/cif100rn34/rn_34_0_100/fgsm/LayerMFS/RF/log.txt,99.94,98.0,96.2,100.0,98.04,0.0,96.42,0.0
./data/detection/run_3/cif100rn34/rn_34_0_100/bim/LayerMFS/RF/log.txt,99.35,95.67,92.0,100.0,95.85,0.0,99.95,0.0
./data/detection/run_3/cif100rn34/rn_34_0_100/pgd/LayerMFS/RF/log.txt,99.38,95.67,92.0,100.0,95.85,0.0,100.0,0.0
./data/detection/run_3/cif100rn34/rn_34_0_100/std/8_255/LayerMFS/RF/log.txt,99.57,96.5,93.5,100.0,96.62,0.0,100.0,0.0
./data/detection/run_3/cif100rn34/rn_34_0_100/df/LayerMFS/RF/log.txt,58.81,55.33,55.1,58.0,56.49,42.0,100.0,42.0
./data/detection/run_3/cif100rn34/rn_34_0_100/cw/LayerMFS/RF/log.txt,58.9,56.33,56.0,59.33,57.61,40.67,100.0,40.67
